"PDB","Virus","Variant","Domain","Antibody","Receptor/Other","Resolution","Release Date","Reference"
"9ml9","SARS-CoV-2","Orig","RBD","M8b-C9 Fab","null","2.59","2025-06-04","40402246"
"9ml8","SARS-CoV-2","Orig","RBD","M8b-B1 Fab","null","2.4","2025-06-04","40402246"
"9ml7","SARS-CoV-2","none","full","M8b-C10 Fab","null","3.2","2025-06-04","40402246"
"9ml6","SARS-CoV-2","none","full","M8b-C9 Fab","null","3.5","2025-06-04","40402246"
"9ml5","SARS-CoV-2","none","full","M8b-B8 Fab","null","3.4","2025-06-04","40402246"
"9ml4","SARS-CoV-2","none","full","M8b-A10 Fab","null","3.3","2025-06-04","40402246"
"9ixv","MERS-CoV","null","NTD","KNIH-88 Fab","null","3.11","2025-04-30","40241666"
"8z9l","SARS-CoV-2","Orig","RBD","null","ACE2","3.6","2025-04-30","null"
"8z2e","SARS-CoV-2","Orig","RBD","Tnb04-1, 1F11","null","2.3","2025-04-23","null"
"9dhy","SARS-CoV-2","Orig","full","COVIC-154 Fab","null","2.7","2025-04-16","40184253"
"9bea","SARS-CoV-2","Wild","full","null","null","3.85","2025-04-16","null"
"9bd9","SARS-CoV-2","Wild","full","null","null","2.95","2025-04-16","null"
"9bbk","SARS-CoV-2","Orig","full","null","null","2.95","2025-04-16","null"
"9b9u","SARS-CoV-2","Orig","full","null","null","2.86","2025-04-16","null"
"9b8f","SARS-CoV-2","Orig","full","null","null","4.15","2025-04-16","null"
"9b4x","SARS-CoV-2","Orig","full","null","null","3.33","2025-04-16","null"
"8yzb","SARS-CoV-2","Omicron BA.2.86","RBD","null","ACE2","3.29","2025-04-09","null"
"8yzc","SARS-CoV-2","Omicron BA.2.86","full","null","ACE2","2.7","2025-01-22","null"
"8yzd","SARS-CoV-2","Omicron JN.1","RBD","null","ACE2","3.07","2025-01-22","null"
"8yze","SARS-CoV-2","Omicron JN.1","full","null","ACE2","3.06","2025-01-22","null"
"8yzj","BatCoV BANAL-52","null","RBD","null","hACE2","2.95","2025-04-09","null"
